GEOID,sovi,rank,fema_region
g05049,3.7835957920071004,34.0,FEMA_6
g05051,1.1061055797738686,153.0,FEMA_6
g05053,-2.648652731730943,437.0,FEMA_6
g05055,0.0815233897364332,251.0,FEMA_6
g05057,0.8018629541230098,184.0,FEMA_6
g05059,-0.4988063681685661,302.0,FEMA_6
g05061,1.3527819862398354,135.0,FEMA_6
g05063,0.5266528773614517,204.0,FEMA_6
g05065,1.9918161534348355,92.0,FEMA_6
g05067,1.2237612213924627,144.0,FEMA_6
g05069,-0.2862007154663471,278.0,FEMA_6
g05071,0.02020402764972979,259.0,FEMA_6
g05073,1.00218504812108,164.0,FEMA_6
g05075,3.4939492616645538,36.0,FEMA_6
g05077,0.6262183659289069,196.0,FEMA_6
g05079,-3.7375287802277435,477.0,FEMA_6
g05081,0.28185527116583553,227.0,FEMA_6
g05083,0.8602181687953447,177.0,FEMA_6
g05085,-1.847812807020859,394.0,FEMA_6
g05087,0.31772854435066816,219.0,FEMA_6
g05089,3.034218444338308,51.0,FEMA_6
g05091,-0.7299402605820844,327.0,FEMA_6
g05093,-0.3887720341376848,291.0,FEMA_6
g05095,1.3511314812044894,136.0,FEMA_6
g05097,0.5707149298117361,198.0,FEMA_6
g05099,0.09063566951653601,250.0,FEMA_6
g05101,0.9757265604025142,168.0,FEMA_6
g05103,0.6320471991242558,195.0,FEMA_6
g05105,-1.4807089303120247,380.0,FEMA_6
g05107,2.4694955793501414,68.0,FEMA_6
g05109,-0.002588115429845772,261.0,FEMA_6
g05111,2.005448051689577,91.0,FEMA_6
g05113,1.0629373766041514,157.0,FEMA_6
g05115,-0.14443018399853363,272.0,FEMA_6
g05117,0.9199744942842478,172.0,FEMA_6
g05119,-1.477084776971706,379.0,FEMA_6
g05121,1.7250406152284599,113.0,FEMA_6
g05123,-0.2908348697368323,280.0,FEMA_6
g05125,-2.8566877153086243,445.0,FEMA_6
g05127,0.5626628159166628,200.0,FEMA_6
g05129,4.663160298886,20.0,FEMA_6
g05131,1.0348740015336166,161.0,FEMA_6
g05133,1.7482642181068837,108.0,FEMA_6
g05135,3.0397599283563754,50.0,FEMA_6
g05137,2.2350884350568068,76.0,FEMA_6
g05139,-0.8422442591124855,338.0,FEMA_6
g05141,1.7097095458890008,116.0,FEMA_6
g05143,-0.45875381567878976,296.0,FEMA_6
g05145,-0.7629782108188458,331.0,FEMA_6
g05147,2.0510608703897075,84.0,FEMA_6
g05149,1.7278323581561914,112.0,FEMA_6
g06001,-2.2352766618697193,78.0,FEMA_9
g06003,3.8459385679352813,8.0,FEMA_9
g06005,1.2917781313809311,24.0,FEMA_9
g06007,0.6510417424614781,33.0,FEMA_9
g06009,-0.7912178089457919,55.0,FEMA_9
g06011,1.6341904695252847,21.0,FEMA_9
g06013,-2.982927987105206,80.0,FEMA_9
g06015,3.521739446220253,10.0,FEMA_9
g06017,-3.0054873446408843,81.0,FEMA_9
g06019,1.5138333848267564,22.0,FEMA_9
g06021,0.5125879747053811,37.0,FEMA_9
g06023,-0.8369129159535414,56.0,FEMA_9
g06025,4.782507339884498,5.0,FEMA_9
g06027,1.2016409174676137,26.0,FEMA_9
g06029,-0.07909077676574322,47.0,FEMA_9
g06031,0.5021330855395114,38.0,FEMA_9
g06033,2.101082881810484,13.0,FEMA_9
g06035,-0.4035072114077365,49.0,FEMA_9
g06037,0.8719632015192493,31.0,FEMA_9
g06039,1.6855101692912982,19.0,FEMA_9
g06041,-1.4645905075354853,66.0,FEMA_9
g06043,0.21440361622684295,44.0,FEMA_9
g06045,1.7373750771080452,17.0,FEMA_9
g06047,1.6540646308828457,20.0,FEMA_9
g06049,4.782064045279029,6.0,FEMA_9
g06051,-2.034133444540683,75.0,FEMA_9
g06053,1.0506849536926284,27.0,FEMA_9
g06055,0.9246212160208511,29.0,FEMA_9
g06057,-1.0596686976900895,61.0,FEMA_9
g06059,-0.6008821911823113,52.0,FEMA_9
g06061,-3.055240340127548,83.0,FEMA_9
g06063,1.9559716046720794,15.0,FEMA_9
g06065,-1.182795020114749,63.0,FEMA_9
g06067,-1.5850208126206566,67.0,FEMA_9
g06069,-1.1043878473867565,62.0,FEMA_9
g06071,-1.3546604661754666,64.0,FEMA_9
g06073,-1.6948401851477364,68.0,FEMA_9
g06075,5.289854229202474,2.0,FEMA_9
g06077,-0.5665397542161044,51.0,FEMA_9
g06079,-1.0155714341132236,59.0,FEMA_9
g06081,-0.9774572060128941,58.0,FEMA_9
g06083,0.637414678644467,34.0,FEMA_9
g06085,-2.0657683288725783,76.0,FEMA_9
g06087,-0.681036469542925,53.0,FEMA_9
g06089,0.2801265152749168,43.0,FEMA_9
g06091,1.7005433727651171,18.0,FEMA_9
g06093,0.855352296493677,32.0,FEMA_9
g06095,-3.341620468429458,84.0,FEMA_9
g06097,-0.8403637828426149,57.0,FEMA_9
g06099,0.39450697778041366,42.0,FEMA_9
g06101,0.17316962270225375,45.0,FEMA_9
g06103,0.9168685271925627,30.0,FEMA_9
g06105,0.40086557758009256,41.0,FEMA_9
g06107,1.87462741297987,16.0,FEMA_9
g06109,1.219289105364965,25.0,FEMA_9
g06111,-1.7249656843030374,69.0,FEMA_9
g06113,-1.8330076952970917,72.0,FEMA_9
g06115,-0.695817319382777,54.0,FEMA_9
g08001,3.4592301441196485,33.0,FEMA_8
g08003,2.288106520753546,54.0,FEMA_8
g08005,4.232034502708521,23.0,FEMA_8
g08007,2.13589319299357,55.0,FEMA_8
g08009,2.1290777148011224,56.0,FEMA_8
g08011,2.098013981204255,57.0,FEMA_8
g08013,-1.6514737767320908,208.0,FEMA_8
g08014,1.342202514261703,81.0,FEMA_8
g08015,1.4204964132367768,78.0,FEMA_8
g08017,0.13065376422608566,128.0,FEMA_8
g08019,-1.9177547199506624,220.0,FEMA_8
g08021,5.797837494226805,11.0,FEMA_8
g08023,10.0626956297817,2.0,FEMA_8
g08025,-1.3584437420709161,194.0,FEMA_8
g08027,1.9019407191653075,61.0,FEMA_8
g08029,2.8575240190962736,45.0,FEMA_8
g08031,13.181730353724374,1.0,FEMA_8
g08033,1.0871510720598465,93.0,FEMA_8
g08035,-4.400656038017882,282.0,FEMA_8
g08037,-2.0447533454249616,227.0,FEMA_8
g08039,-3.3873719898187167,263.0,FEMA_8
g08041,1.171566806283015,85.0,FEMA_8
g08043,4.070723353673682,24.0,FEMA_8
g08045,-0.8535678894308583,170.0,FEMA_8
g08047,-2.7274376014514186,245.0,FEMA_8
g08049,-2.171267597261175,232.0,FEMA_8
g08051,-4.1590164146089155,279.0,FEMA_8
g08053,5.6095857734426895,12.0,FEMA_8
