,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.21133878315427784,0.254384759100211,0.16967903268158954,0.18492121019247684,0.15694935003236,0.24389822981995762,0.08788779839504982,0.022506307722744215,0.467612315520029,0.28461522300441655,0.08200488036434693,0.37594060448254374,0.311741456059186,0.1134697612578533,0.26034545722380575,-0.03708526937218212,0.12547937812259985,0.15785005969858146,0.2102747393946342,0.06564410766348297,0.06634324810263853
BLACK_ACS,-0.26623092298296835,0.0938282931675919,0.06190833389062181,0.18724313800621972,-0.1215977596520921,-0.06022624779799879,-0.567906585146462,0.05950872844895651,0.3399226053297622,-0.5263810958224757,-0.2383583569692959,0.05393450987278542,0.04232209027887829,-0.1086862636003818,0.09231799455086523,0.015925212902629216,0.4375368004243469,-0.022929676984338995,0.46159341925439257,-0.31108072687913313,0.39007945840124075
QNATAM_ACS,0.4943982596365443,0.54239959137932,0.5742773965699487,-0.23247320531019258,0.8066798787848809,0.6416584552533707,0.4483720299712731,0.583478329230439,-0.07590335224402411,0.3986111546630392,-0.04586051436690897,0.4368961618350756,-0.5478460350881289,-0.3008952652405307,-0.5331774461074843,0.5320857786710919,-0.06327322080671277,0.442468440241616,-0.06742152347843067,-0.3030127076254381,0.2833200939614209
QASIAN_ACS,-0.08977346783272266,0.20987348266567474,-0.1229509908415243,0.07184627074262111,0.07320337786581299,0.02132439033057204,0.11968848919894527,-0.15012061762774584,0.23078771831067713,-0.00018016594290698462,-0.24187709485966147,0.12154662427310159,-0.16492758045651873,0.1985722580024274,0.21678060989133285,0.3274868102256037,0.2278141933029857,0.1610768053703424,0.5129564145560327,-0.09706466311399153,0.3339427301639001
QHISP_ACS,0.5626481351743793,0.219432217807425,-0.11894745446801847,0.6337599063651776,0.46097715409270995,0.38907806496928166,0.37737325389972465,0.3964335625983958,0.5162579105442675,0.275314646551106,0.33428555000261245,0.3282301818174961,0.015489200147251886,0.5596910915198637,0.3692459463586605,-0.19287702426246778,-0.026758974419454774,0.484107361681627,0.4982532816112091,0.2712408936705835,0.25296197967162903
QAGEDEP_ACS,0.7604063693911737,0.4999769712554767,0.17080812082289554,0.37886005318033084,0.3750035475616041,0.617482622522632,0.5619857613943474,0.3285924615876523,0.5118145969902915,0.3808562945034492,0.2910007113335427,0.560522690362099,0.5980803248722889,0.2688515131697177,0.1478671792425871,0.05306045968440909,0.18310416474560923,0.4353354091421757,0.13917766570923373,0.2336015157041567,0.11620081622264294
QPUNIT_ACS,0.01645709630066107,0.1687542876179048,-0.5527765851130411,0.13115044240275703,-0.4065411479734101,0.05827546871771541,-0.017346728126524102,0.13415901239368502,-0.18692627369772863,0.13643671070313318,-0.0720808033012989,0.3631583679747067,-0.3547671784278447,-0.04384760928435705,-0.36990805375917807,-0.4299439389309117,-0.37173157271768864,-0.45546727331369136,-0.14443278080591365,-0.19005758082477764,-0.19761537024775222
PRENTER_ACS,0.1675503946075867,0.06128956013146379,0.08909906353486238,-0.12953964779589824,0.303675323852887,-0.08368626216517681,0.22703731082965578,0.06620599694316825,-0.16706983032381748,-0.07904823461771926,0.3669516995127284,-0.032260034350749284,0.16710973937877227,0.10169556757035193,-0.11408520589165487,0.19079068360635015,0.23339804602977493,0.16369114383294736,-0.0403191241252344,0.3998430213788266,0.4573945498052829
QNRRES_ACS,0.33146160080503423,0.46097975953040776,-0.16393145837802692,0.514498375152875,0.5235402143798193,0.21952111512657463,0.2893170685945864,0.42608867032026365,-0.28961096989643,0.8591159105426132,0.3299046434231981,0.35462843456039767,0.5406838691568333,0.16125843922566638,0.44088351849051544,-0.14464487707915577,0.32971425563442075,0.28381495537631984,-0.28069346411902496,0.6606190198597639,0.1660841544122691
QFEMALE_ACS,0.7369492026838402,0.5072954653515132,-0.17618157543044882,-0.39474329224093774,-0.2550723008971625,0.8574845969697629,0.5431773309253793,0.8122102183596145,0.7520068257859027,-0.02072271695150174,0.405108041873807,0.4166027848693662,0.5274800703874583,-0.08654151341431063,-0.3363578596518722,-0.28193525900062294,-0.3495456730670492,0.644941934374821,0.48172380765312156,-0.5559876913770138,0.05116557462959198
QFHH_ACS,0.20776047031712436,0.2616337839964753,-0.04636195788718109,0.09642517019599833,-0.010994642211010465,0.24974485256217266,0.08929035679984029,0.499838818509462,0.008580320735434407,0.22444382953441502,0.4528560188320799,0.5571342761300656,0.27119854035212715,-0.035713819731950674,-0.0737685456281734,-0.19485247422098662,0.22086918040752554,0.21031302704319765,0.059313120097063306,-0.14718128383422152,0.5045648098423645
QUNOCCHU_ACS,0.27974756680658325,-0.2416669669552854,0.5103561810513484,0.7603163072293173,0.3770247644782211,0.3149379893818231,0.13724235319517,-0.16861253340138932,0.4541534439372521,0.4496743319675828,-0.2685244165082805,-0.12542205642552628,0.14195858126920013,0.5050779564641136,0.20224805168104346,0.42155785788993605,0.28198273450038847,0.4014234650887503,0.7326453990887244,-0.4060318075756433,-0.2828655259483345
PERCAP_ALT,0.2791195281402798,0.045363489484138333,-0.07689332113925249,0.2500787580415179,0.14973948844937382,0.23528524103640747,0.3793501285408687,0.2336896051532254,0.2684777924689634,0.08438804386649787,0.1782406906343177,0.09228133990502342,0.1261182098531542,0.15143577057630964,-0.09523002700449328,0.09866754858985026,0.19136394547393473,0.18676510938687235,0.2477921919077426,-0.1531567074215282,0.19837919580252736
QESL_ALT,0.48155504057766385,0.29796081004695013,-0.12055761333622023,0.576796935711272,0.4725038467180307,0.469563656069396,0.3245349116872064,0.39290631717195634,0.3787827635165566,0.4854301401417841,0.2425139167334749,0.36227354978740545,-0.03782444463239884,0.5856661650565494,0.49742095409037507,-0.036800554884319145,-0.059739818895127174,0.4437891205217915,0.31460965064623814,0.3046830265292223,0.2087449436019586
QCVLUN,-0.1501231023470767,0.6871652296979776,0.2024432214206962,0.21345821534753323,0.1640173489766665,-0.21882776724883912,-0.10850444130901638,-0.11167696309840695,0.5234971204059158,0.26257067733784667,0.15238045992139787,0.7443583694916905,-0.16521884961453115,0.30760873274681194,0.34526289935163645,0.25016558834337227,0.4004360139751463,-0.17894792793077802,0.1327556569075486,0.41069978569863663,0.2758579222168805
QPOVTY,0.34339952314365907,0.14813583314771062,0.2537152324199972,0.1716123790407385,0.28862823094866175,0.24705017708035806,0.45292236646003203,0.2810651156320768,0.27046920288054116,0.5062418675495189,0.38587771555039263,0.024630642480280823,0.2831988884287426,0.33100609934367176,0.3314678721444652,0.42440472693980275,0.32640445178129096,0.3963013709253397,0.1449900529040039,0.1915508474107133,0.35528638245848837
QMOHO,-0.3672640772365583,-0.1981538999010551,0.0656020694106545,0.039076711329323964,0.03855824197765631,-0.24614998489415674,-0.5850721679975885,-0.20434170680609773,0.24627219849763948,-0.15172663546684703,0.21343025331212945,-0.4667963664176191,-0.018566514286814495,0.27838631618216053,0.07585833632958716,0.3129545306957669,-0.4332149094541705,0.028339476808053515,0.7326004522583325,0.3048144566734842,0.40091149710596163
